Name,Website,Industry,Company Size,Headquarters,Type,Founded,Specialties,About Us,Error
Rented — A TravelNet Solution,https://www.rented.com,"Leisure, Travel & Tourism",11-50 employees,"Atlanta, Georgia",Privately Held,2020,"Vacation Properties, Vacation Rentals, Real Estate Investment, Tourism, Sharing Economy, Short Term Rentals, Revenue Management, Listing Management, Consulting, M&A, and SaaS","Rented provides revenue management technology, tools, and services to help vacation rental managers optimize their portfolio of properties. 

Art, our Automated Rate Tool, is the only dynamic pricing software built for and by professional short-term rental revenue managers. With Art, your in-house specialists are empowered to set the right price for every property, with intelligent rate recommendations and easy custom adjustments. 

For companies that need hands-on support, our Revenue Management Service provides a dedicated revenue manager that specializes in handling every detail: setting prices, monitoring performance, and making custom adjustments.",
Panhandle Getaways,https://www.panhandlegetaways.com/,Hospitality,11-50 employees,"Panama City Beach, FL",Privately Held,1992,"30A Vacation Rentals, Property Management - Beachfront Properties, Panama City Beach Vacation Rentals, Destin Vacation Rentals, beach rentals Florida, and property management","The most trusted name for property management and vacation rentals for 30 years. We manage more than 750 rentals from Panama City Beach to Scenic 30A to Destin/Ft. Walton.

All of our condos and homes are kid friendly, and we even have a few pet-friendly units. Contact us for more information, or click to book your reservation online right now! We are eagerly awaiting your phone call or email so we can help you decide just the right place for you and your family. The sand looks like sugar, the sea like emeralds, and the sunsets like heaven. Come see for yourself!",
Property Care Specialists,http://www.propertycarespecialists.com/,Facilities Services,11-50 employees,"Valrico, FL",Privately Held,1992,"Commercial Maintenance, Landscaping Services, Power Sweeping, Lighting Repair and Maintenance, Facility Maintenance, Parking Lot Repair, Fertilization & Pest Control, Tree Trimming & Removal, Irrigation, and Porter & Janitorial","Property Care Specialists has been servicing commercial properties of all sizes in the Tampa Bay area since 1992. Over the years we have built relationships of trust with owners and property managers based on quality, customer service and competitive pricing.

 We  go “above and beyond” to ensure we are meeting, and often times exceeding, our client's expectations. We focus on effectively communicating with our clients to better anticipate their landscaping and maintenance needs.

Call Property Care Specialists at (813) 654-3143 to simplify your commercial property maintenance.",
"FS Project Management, LLC",http://www.fsprojectmanagement.com,Construction,11-50 employees,"New York, NY",Public Company,2005,N/A,"FS Project Management serves as a property owner’s advocate for residential and commercial construction projects. With a team of experienced project managers, FS Project Management brings its leadership and distinct expertise to each job with the goal of ensuring that all project needs are assessed correctly and that proper procedures are followed from project conception to completion. 

Our project managers represent the owner – from the development of the project to coordinating bid packages through interviewing and negotiating costs with engineers and contractors. We make certain all permits are filed in accordance with city or municipal guidelines.

We manage all communications between the owner and all other involved parties. This ensures that the owner’s vision and needs are met in a cost-effective and timely manner.

With over $40 million worth of projects in our portfolio, FS Project Management has a proven track record for taking the most complex and comprehensive projects from visualization to realization – while keeping your project on schedule and within budget.

By listening to our clients we have developed procedures to ensure that questions and concerns are addressed quickly, thereby making certain that projects are scheduled with minimal disruption to residents’everyday life.

FS Project Management welcomes the opportunity to meet with you, assess your needs and make sure that your project is brought to successful completion.",
Southern Comfort Cabin Rentals,http://www.southerncomfortcabinrentals.com/,Hospitality,11-50 employees,"Blue Ridge, Georgia",Partnership,2000,"Luxury Cabin Rentals, Blue Ridge Cabin Rentals, North Georgia Cabin Rentals, Blue Ridge Mountain Rentals, and TurnKey Vacation Homes","Southern Comfort Cabin Rentals in Blue Ridge, GA provide luxury vacation cabin rentals to guests visiting the north Georgia mountains and professional vacation property management to vacation cabin owners. Services include: Online reservations, local reservation agents, guest services, white water rafting, horse back riding, fly fishing, message and full service real estate brokerage. 

Blue Ridge, GA is centrally located in the southern Appalachian mountain range approximately 2  hours north of Atlanta. It is the perfect place to completely relax or to seek adventure. Southern Comfort Cabin Rentals can your personal guide to all the exciting activities and provide an amazing environment to calm you mind.",
Panama Casa Services,http://www.panamacasa.com,Real Estate,11-50 employees,N/A,Public Company,2002,"Apartment Rentals, Short Term Rentals, Property Management, and Long Term Rentals","Panama Casa: The leading property management company in Panama

Panama Casa, founded nine years ago, has grown over the years and is now recognized as Panama’s leading property management company. The company manages an extensive listing of apartments in Panama City available for both long term rental and short term rental; it also provides a wide range of related services, including property sales, commercial real estate management, asset management, airport pickup and more.

With 20 years of experience in the U.S.A real estate industry, Jeff Duda founded Panama Casa Services, which has become the premier property management company in Panama for full service rentals, corporate housing and vacation rentals.

Panama Casa clients are mainly International executives from all over the world looking for an alternative to hotels. Panama Casa has an extensive listing of exclusive luxury apartments in Panama City that are ideal for business visitors. Many of these apartments have stunning views and are within steps of Panama City top business, cultural and entertainment attractions. Panama Casa apartments achieve occupancy rates of around 75 to 80 percent.",
ATARID Specialist Recruiters to the Property & Asset Management Industry,http://www.ATARID.com,Staffing and Recruiting,11-50 employees,"Jacksonville , FL",Privately Held,2007,"Multifamily Properties, Community Association Management, Developer Communities, Asset Management-Residential & Commercial, Homeowner Associations, Affordable Housing, Commercial Property Management, Luxury Class A Properties, Student Housing, Conventional Properties, Accounting Professionals, Property Managment Professionals, Asset Management, Property Managers, Senior Executives, Community Association Managers, Directors, Leasing Professionals, Vice Presidents, Operations, and Compliance","Atarid, Specialist Recruiters connects talented industry professionals with leading Property and Asset Management Companies nationally.  

Our markets include: 
Commercial Properties (Class A Office, Medical Office, Retail, Industrial/Flex
Multifamily (Conventional, Class A, Luxury, High-Rise, Affordable & Student Housing)
Community Association Management (On Site, Portfolio)

Since 2007, we have been assisting companies with their hiring needs for: 

Senior Executives
Vice Presidents
Operations Managers/Directors
Commercial Property Managers
General Managers
Community Association Managers/Regionals
Property Managers/Supervisors/Area/Regionals 
Asset Managers
Leasing Managers
Sales/Business Development Managers
Maintenance Managers/Directors
Accountants - Property/Staff /Controllers 
Marketing and Corporate personnel. 

If you are an industry professional looking to achieve your goals or simply want to explore opportunities, get in touch - we may have just the right opportunity for you.  

As a hiring company we can help you hire the best in class talent. 

Call us on 904 322 8909 and let’s agree the best approach to achieve your objectives.",
WhereToStay,https://www.wheretostay.com,Travel Arrangements,11-50 employees,"Boerne, Texas",Privately Held,1995,"Caribbean , villa rentals, vacation rentals, anguilla, st barts, barbados, turks and Caicos, st martin, cayman, villas, travel, and travel technology","WhereToStay.com is a pioneer in the online travel industry. As both a travel technology company and customer service experts, they have assisted travelers for more than 23 years. WhereToStay.com connects clients with luxury vacation rentals in tropical locations like Anguilla, Barbados, St. Barth, St. Martin, and Turks & Caicos, working with thousands of villas.",
Lot and Land Maintenance,http://www.lotandlandmaintenance.com,Construction,11-50 employees,"Raleigh, NC",Self-Owned,N/A,N/A,"Shopping center maintenance. Parking lot sweeping, Landscaping, irrigation, asphalt repairs. name it, we do it. 
Home Depots, Kohl's, Target's, Large Malls, large and small shopping centers and strip malls. We do the maintenance for owners and property managers",
Kitty Dunes Rentals,http://www.kittydunes.com,"Leisure, Travel & Tourism",11-50 employees,"Kitty Hawk, NC",Privately Held,1970,"outer banks vacation rentals, outer banks vacation home property management, property management outer banks, and beach vacations","Vacation Rentals on the Outer Banks of North Carolina. Properties from 4WD Carova, Corolla to South Nags Head, Including Colington Island. Private Pool and Pet Friendly properties available. Oceanfront, Soundfront, Canalfront, Waterfront. The Outer Banks Vacation People!",
Wingate and associates,http://www.wingaterealtors.com,Real Estate,11-50 employees,N/A,Privately Held,N/A,"All aspects of Real Estate, Luxury, waterfront, and single family homes and condos. Short term vacation rentals","Waterfront and Luxury Homes. Vacation homes and single family homes. Investment properties as well as commercial property. We also provide service for short term vacation rentals. We specialize in all aspects of real estate, title services. We also provide in house financing services.",
Real Property Management Midwest,https://rpmmidwest.com/,Real Estate,11-50 employees,"Cincinnati, OH",Privately Held,2007,"Property Management, Real Estate, Commercial Properties, Investment Property, Apartments For Rent, Rental Homes, Cincinnati, OH Property Management, Columbus, OH Property Management, Dayton, OH Property Management, Northern Kentucky Property Management, and Louisville, KY Property Management","Real Property Management Midwest is your dedicated partner for comprehensive property management and leasing services in Cincinnati, Columbus, Dayton, Ohio and Northern Kentucky. Conveniently located in downtown Cincinnati, our experienced team caters to properties in every county, suburb, and city in the Northern Kentucky and Cincinnati, OH Area.

We specialize in managing homes, apartments, and rental properties, ensuring property owners have peace of mind while we handle the intricacies of leasing and management. Our professional property managers are committed to serving homeowners, investors, and tenants alike in the communities we operate.

At RPM Midwest, we go beyond traditional property management services. We offer thorough tenant screening, a rent payment guarantee, eviction protection, routine property inspections, and 24/7 emergency maintenance services. Our clients benefit from the convenience of our online owner and tenant portals, ensuring seamless communication and transparency.

We understand the challenges property owners face, which is why we strive to simplify the leasing process. Our goal is to transform property owners into investors, freeing them to focus on their other pursuits. For residents, we promise swift leasing, prompt repairs, and clear communication, ensuring a hassle-free leasing experience.

Choose Real Property Management Midwest for professional, transparent, and efficient property management solutions. Let us handle the complexities while you enjoy the benefits of hassle-free leasing and property ownership.",
StayWinterPark,https://www.staywinterpark.com/,Travel Arrangements,11-50 employees,"Winter Park, CO",Privately Held,1972,"Vacation Rentals, HOA Management, Short Term rental managment, Ski Vacations, Concierge services, Corporate and Exective retreats, and Group sales","StayWinterPark offers the largest variety of vacation rentals in the Winter Park Colorado area.  Choose from hotel rooms up to luxurious 7 bedroom private vacation homes.
We are the most established management company, with over 40 years of local experience.  
Contact us for your next Rocky Mountain vacation, short term rental services or HOA managements.",
Resort Rentals the Ultimate R & R,http://www.resortrentals.us,Hospitality,11-50 employees,"St. Pete Beach, Florida",Privately Held,N/A,"Beach Rentals, Condo Rentals, Vacation Rentals, Florida Vacation, Beach Lodging, Waterfront Accommodations, Florida Beachfront, Corporate Accommodation, Corporate Housing, Corporate Getaway, Family Vacations, Beach Vacation for Couples, Beachfront Condos, and Snowbird Condos","Florida vacation rentals will make your next family trip more rewarding. If you are looking for a great vacation idea, consider booking a quality Florida vacation rental in the Tampa Bay area – where you and your family can enjoy lots of fun, with privacy and comfort. Pick a great family getaway spot on the Gulf of Mexico: St Pete Beach, Treasure Island, Madeira Beach, Redington Beach, Redington Shores, Indian Shores.

Properties offered by Resort Rentals are either on the beach or on the bay. And to make it even better, they are close to the famous theme parks and attractions in Orlando. There are lots of great places to visit in Clearwater, St Petersburg, Tampa and the area surrounding numerous fun day trips to make your getaway as fun and relaxing as you choose. Our condos, homes and villas come fully equipped with everything you need for a fun and relaxing time in Florida.",
The Magnusson Group,http://www.TheMagnussonGroup.com,Professional Services,11-50 employees,"Morristown, New Jersey",Privately Held,1994,"Personal Property Appraisals, Consignments & Brokerages, Insurance Appraisals, Tax Appraisals, Charitable Donation, Equitable Distribution, IRS Appraisals, Estate Sales, Estate Sale, Consignment, Brokerage, and Auction","Personal Property Consultants, Inc. was founded in 1994 and became known as The Magnusson Group in the 21st century when more family joined the firm and services broadened.  It remains family-owned and has grown to be New Jersey’s leading provider of personal property appraisals, asset management solutions and bespoke estate and auction sales. 
The Magnusson Group is a client-focused Team of Accredited Appraisers, Art Advisors, Client, Operations, Marketing and Project Managers, Stagers and Salespeople, complemented by an international network of Specialists, Auction Galleries and Dealers. 

The Magnusson Mission is to help families and institutions identify, value, manage and sell their art, antiques, jewelry, luxury goods, collections, and objects d’art, as well as entire home contents.",
American Property Management -MHK,http://www.Americanmhk.com,Real Estate,11-50 employees,"Manhattan, KS",Privately Held,2014,Property Management,"American Property Management is a Manhattan, Kansas-based property management company connecting residents and rental property owners. We manage single and multi-family properties, student housing, apartment complexes and HOAs. Our team combines over 50 years of experience to bring you clearly better property management.",
The Rental Connection,http://www.therentalconnection.com,Real Estate,11-50 employees,N/A,Self-Owned,1985,Investment properties and vacation rentals and property management,"Come enjoy the Desert and invest in the next upward swing in real estate values. Palm Springs and the surrounding area has seen a dramatic pull back in prices. Great cash flow positive properties are available from $100,000.

We also have 300 rental properties for vacation and long term rentals. 
Rent from an industry leader for over 25 years. Golf course condos, pool homes available now.
See website for specials!",
BRAND SERVICES,http://www.brand-svc.com,Facilities Services,11-50 employees,"Gales Ferry, CT",Privately Held,1994,"REGULATORY COMPLIANCE, FIRE/SMOKE DAMPERS, SOC / PFI's, FIRESTOPPING, FIREPROOFING, and FIRE DOORS","BRAND SERVICES is a CODE COMPLIANCE LIFE SAFETY company, specializing in inspecting, maintaining, and managing code compliance life safety systems.  We serve numerous industries including healthcare, educational, industrial, commercial, and pharmaceutical companies.  Our customers include property owners and managers, general and mechanical contractors, and state & federal governments.  Brand’s service region continues to expand and now has: New England & the Mid-Atlantic region.  BRAND's mission is to provide its customers with code-compliant fire protection and life safety services that protect the building's occupants as well as the owner’s investment.

Our Services

HEALTHCARE REGULATORY COMPLIANCE: 
•	Life Safety Assessments
•	Statement of Conditions
•	PFI Remediation
•	Smoke and Fire Barrier Assessments
•	Life Safety, Environment of Care & Emergency Management Program Assessments / Mock Survey
•	DNV - NIAHO Consulting
•	Development of Policies and Procedures for the Physical Environment
•	Pre-Construction Risk Assessments 
•	Fire Safety Equivalency Survey FSES
•	(EOC) - ""Tool Box""
•	""Lean Methodology"" for Life Safety & SOC Compliance
•	Environment Of Care Rounds
•	Building Maintenance Programs
•	Inventory of Utilities Management
•	Interim Management

FIRE DOORS:
•	Re-certification, Inspections, and Repairs

FIRE/SMOKE DAMPERS: 
•	Inspections, Repairs & Maintenance

FIRESTOPPING: 
•	All barrier-related firestopping
FIREPROOFING: 
•	Spray and hand patching",
"RLI Enterprises, Ltd",http://www.rlienterprises.com,Commercial Real Estate,11-50 employees,"Canton, OH",Privately Held,N/A,N/A,Property Management,
Rainbow Housing Assistance Corporation,http://www.rainbowhousing.org,Non-profit Organization Management,11-50 employees,"Glendale, Arizona",Nonprofit,2002,General Partner,"Rainbow Housing Assistance Corporation (Rainbow) is a nonprofit organization that provides service-enriched housing programs for residents of rental housing communities throughout the country. Rainbow provides a custom supportive services solution to every asset served, building a sense of community. Offering services that focus on community and promote the self-sufficiency of the residents has been proven to increase the financial viability of multifamily assets.

Rainbow’s award-winning services package is structured in such a way that it can be implemented to perform for any population or demographic, preserving quality, affordable housing for those who need it most. If looking for a custom approach to educational youth programming, life-skills training for adults, or social activities for seniors – Rainbow has the solution. A Resident Services Coordinator (RSC), in conjunction with property managers, will create an environment that residents cannot afford to leave. The most popular programs include:

    Free afterschool educational programs for youth
    Job readiness and placement
    Job readiness and placement
    Computer literacy courses and life-skills training
    Financial resource management
    Community building exercises

RSCs also build coalitions, supplementing programs with expertise from local business leaders, state, and federal compliance groups, medical personnel, charitable organizations, and law enforcement resources. These programs directly correlate to tangible financial benefits, improving the asset’s performance. RSCs internalize features that residents want and need from the asset, encouraging long-term resident retention. Rainbow’s service-enriched housing program affords owners the following benefits:

    Reduced turnover
    Decreased marketing costs
    Increased occupancy rates
    Lower rental losses (bad debt, concessions, legal fees)
    Real return-on-investment",
"Prospect Management Company, AAMC",http://pmcwi.com,Real Estate,11-50 employees,"Milwaukee, Wisconsin",Privately Held,1999,"property management, condominium association management, homeowner association management, and condo management","Prospect Management Company is one of Milwaukee’s premier residential property management companies specializing in condominium and homeowner association management. Prospect Management Company is the second largest residential management company in Wisconsin.

Our current portfolio consists of over 80 condominium communities, including mixed use, mid & high rise buildings and planned unit developments.

Our involvement in and commitment in to the industry of condominium association management is exhibited through our involvement in pioneering the inception and creation of the Community Association Institute (CAI) Wisconsin Chapter.  It was through Prospect Management and other industry associate’s participation that the state of Wisconsin was introduced to this national organization that fosters and nationally governs the industry of community association management.

Prospect Management Company requires all of our community managers to earn the CMCA (Certified Manager of Community Associations) designation through CAI, ensuring that our managers have the knowledge and skills to successfully manage a community.

 It is through our commitment to the industry, experience, our dedication to professionalism and our strict compliance to a code of ethics that has allowed Prospect Management to become the first Accredited Association Management Company© (AAMC©) in the State of Wisconsin.",
"La Perla Property Management, LLC.",http://www.laperlapmlive.org,Business Consulting and Services,11-50 employees,"Laguna Hills, California",Privately Held,2017,"HOA Management, Large Scale Communities, Condominiums, Onsite Management and Commercial Buildings","La Perla Property Management is a professional management company that provides excellent management services to homeowners associations and comercial buildings at a competitive pricing. 

LA PERLA is privately owned. Her founder/CEO, Yamy Criblez has more than 20 years of experience in the HOA management industry. Mrs. Criblez has also experience in commercial and high rise condominium management, which she performed for a few years while residing in Florida prior to moving to California. 

At LA PERLA, we strive to provide consistent management services to our clients by focusing on low turnover of staff, specifically managers, as we understand it is one of the most well-known challenges we face in our industry. 

LA PERLA strongly believes in and goes to great lengths to ensure its commitment to excellence. We work hard at not only meeting but exceeding our clients' expectations, and we do that by partnering with them to help them find ways to build a sense of community within their neighborhood. We promote and exercise transparent and consistent communication; we practice compassion and provide our clients with the necessary tools to help them make informed/educated decisions, avoid litigations and build a safer environment for their residents.",
Ryzer Construction Services,https://ryzerbuilt.com,Construction,11-50 employees,"Bellingham, WA",Partnership,2015,"Windows, Doors, Exteriors","Ryzer is a Construction Services and Solutions Group that specializes in commercial and residential windows, doors, cladding, siding, decking, outdoor living and building envelope services.  Ryzer provides integrated end-to-end construction solutions for Manufactures, Builders, Contractors, Property Managers, and Home Owners in the Pacific Northwest.",
"Homeowners Management Company, LLC",http://www.hmcpm.com,Real Estate,11-50 employees,"Concord, CA",Privately Held,1989,"Full Service Residential HOA Community Management, Mixed Use Common Interest Developments (CID), Bookkeeping and Administrative Management for Homeowner Associations, Real Estate Investor Portfolio Management, Homeowner Association Management, and Professional Management Firm","Homeowners Management Company (HMC) provides full-service property management services including financial, administrative, and operational management solutions to homeowners associations (HOA), community associations, and commercial common interest properties in the San Francisco Bay Area. Since 1989, our experienced certified Community Association Managers have used a combination of industry expertise and personal attention to enable homeowners, business owners and Board Members to confidently make the right decisions for their community.

Visit http://www.hmcpm.com to further learn why HMC is the right choice for your community.",
"Innovative Home Concepts, Inc.",https://www.InnovativeHomeConcepts.com,Building Structure and Exterior Contractors,11-50 employees,"Crystal Lake, Illinois",Privately Held,2005,"Replacement Windows, Siding, Soffit and fascia, Roofing, Stone Coated Metal Roofing, Storm restoration, insurance restoration, hail damage, wind damage, commercial roofing, commercial roof repair, vinyl windows, cedar shake roofing, commercial gutters, commercial insurance restoration, and gutters","Innovative Commercial provides maintenance, repair, and installation services for Property Managers, Homeowners Associations, Multifamily and Commercial Real Estate Investors, and Commercial Building owners.

We especially love to work with property managers.  Our goal is to provide service that is so good that our property managers end up looking like heroes to their clients.  Because when Innovative is on the job, the exteriors of your properties are taken care of.  

Our services include but are not limited to:
-Shingle Roof Repair, Replacement, and Insurance Restoration
-Flat Roof Repair, Replacement, Coating, and Insurance Restoration
-Siding Repair and Replacement (Cedar, Vinyl, Fiber Cement)
-Replacement Window Repair and Replacement
-Gutter Replacement, Cleaning, and Repair
-Gutter Guard Installation and Repair
-Power Washing Services
-Painting and Staining
-Carpentry
-General Exterior Maintenance, Repair, and Replacement
-Preventive Maintenance Agreement Programs
-Professional Inspections Services - By Visual Inspection or by licensed Drone Pilot
-Specialty exterior projects
-General Contracting Services

If you have a project, we can probably help.  When something comes up, give us a call first to discuss it!  If we can't help you we will at least be able to point you in the right direction with a quality referral.

Innovative Home Concepts, Inc.  was founded in 2005 by second generation construction/remodeling professional Rhett Wilborn.  Innovative's commercial division has the manpower, experience, expertise, and financial strength to service even the largest of commercial and multifamily projects.

Innovative Home Concepts' commercial division currently works with some of the largest property management and real estate investment companies in the United States and would love to add you to their line up of satisfied customers.  

Schedule a time to meet with one of our dedicated project managers today to discuss what we offer and how we can help you.",
Property Guard,https://www.propertyguard.io/,Real Estate,11-50 employees,"Dallas, TX",Privately Held,2017,"Compliance, Homeowner Association, Short Term Rentals, Condominium Association, AI, and Association Management","From HOA Boards to Property Managers to Asset Owners and Real-Estate Investors: Property Guard works with properties of all types – even boats! From every corner of the US and beyond - our clients have different goals but similar needs.

Our product combines a custom-built engine and a world-class validation algorithm that scans, detects, and classifies short-term rentals at your property.  Do you like to be hands-on? We provide a custom dashboard so you can manage your users and your activity.  Prefer to be hands-off?  We send you daily and weekly emails with all activity at your property.  Property Guard also lets you notify your residents or local regulators directly from your inbox.  With other features like saved copies of listings and real human quality control reviews, Property Guard is your complete short term rental management and compliance platform.",
TC Development Group,http://www.tcdevelop.com,Construction,11-50 employees,"Chicago, IL",Partnership,N/A,General Construction and Real Estate Development,"TC Development is Chicago's Premier full service residential and commercial construction and development company. Our team of expert craftsmen, designers, contractors, and project managers are here to build your dream property. We do everything to new construction to bathroom remodels. Check out out website at www.tcdevelop.com",
"Titan Property Management, LLC",https://titan100.managebuilding.com/Resident/public/home,Real Estate,11-50 employees,"Oshkosh, WI",Partnership,N/A,"Residential single family and multi-family rental management company, Full time maintenance staff to keep properties in good repair, and Professional property management company serving local and absentee landlords","Titan Property Management, LLC offers Full Service Property Management Services to property owners big and small throughout the Fox Valley servicing Kaukauna, Appleton, Neenah, Menasha, Oshkosh, Fond du lac, Ripon and surrounding areas.",
Metro Signs & Lighting,https://www.metrodetroitsigns.com,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,"Warren, Michigan",Privately Held,1942,"Custom Design and Fabrication, Energy Efficient Lighting, Digital Displays and Wayfinding, Turnkey Project Management , Maintenance, Installation, Code research, variance and permit procurement, High-rise stage work / rappelling, and Excavation","Metro Signs & Lighting provides high quality, custom sign and lighting solutions that are affordable and effective. Our clients include property managers, corporate branding managers, architects, universities, retailers and national sign manufacturers.",
"REI Property & Asset Management, Inc.",http://www.rei-pm.net,Real Estate,11-50 employees,"Danbury, CT",Privately Held,1987,Association Management and Commercial Property Management,"Since 1987, REI Property & Asset Management has provided premier property management services throughout the State of Connecticut.  Headquartered in Danbury with nine additional offices located throughout the state, REI is a licensed management firm with a consistent commitment to excellence within our industry.  As a specialist in community association, commercial and retail property management, we are uniquely suited to assist in the management of your home, business or investment.",
RICON,http://www.riconusa.com,Construction,11-50 employees,"Warwick, Rhode Island",Privately Held,2013,"Site Work, Masonry/Concrete, Drainage/Utilities, and Asphalt Paving","RICON is a full-service construction company that offers a wide range of construction services for most any Municipal, Commercial, Residential or Site construction project. With our experienced employees and subcontractors, RICON has the expertise required to manage your construction project, from beginning to end.

The key to our success has been and always will be our relationship with our customers whether they are property managers, developers, construction managers or municipalities. Our dedicated team of professionals is committed to making every project a successful one, and our management team is always accessible ensuring that we exceed customer expectations.",
Zan Compute,http://www.zancompute.com,Facilities Services,11-50 employees,"Santa Clara, California",Privately Held,2014,"Building IOT, Machine Learning, Smart Sensors, Smart City, Smart Building, facility maintenance, Smart Restroom, and Artificial Intelligence","Zan Compute provides Zanitor, an Artificial Intelligence (AI) based facility maintenance platform with advanced sensing and machine learning that better suits the needs of property owners, managers, service providers and occupants. Zan’s solution is a mobile/cloud-based solution that focuses on automating the custodial process through AI. The platform allows facility managers and building service providers to track real time cleaning incidents and maintain quality of service in an easy, efficient and cost-effective manner.",
Measure Up Corp,http://www.MeasureUpCorp.com,Architecture and Planning,11-50 employees,"New York, New York",Privately Held,2011,N/A,"Measure Up is a leading provider of building measurement services for real estate owners, property managers and architecture firms throughout the United States. Our professionals survey and measure all type of properties across the nation using highly accurate laser measuring devices and create detailed as-built floor plans.",
"Hawk Equipment Services, Inc.",https://hawkequip.com,Facilities Services,11-50 employees,"Seattle, WA",Privately Held,2015,"Confined Space Entry Monitors, Gas Calibration, Air filtration, Worker's Exposure Testing, Toxic Gas Detection, and Parking Garage Gas Detection Systems","Hawk Equipment Services is a specialty contractor that provides calibration, installation, repair, and procurement of fixed or portable gas detection systems (portable environmental monitoring equipment).

Our typical clients are commercial property managers, production facility managers, industrial companies, and parking management companies. Maintaining fixed and portable monitoring systems for environmental concerns is vital to protect health and safety, prevent shutdowns, and protect company liability.

As specialists in environmental monitoring and alarm equipment, no job is too big or too small. We can be mobilized and be onsite across the entire United States for start-up commissioning, routine calibration, troubleshooting, and sensor replacement whenever you need assistance. Please feel free to call or email us with your project specifications so that we can generate a proposal for the cost and scope of work needed at your facility.",
Upkeep Media Inc.,http://www.upkeepmedia.com,Advertising Services,11-50 employees,N/A,Partnership,2015,"Search Engine Optimization, Website Development, Social Media Management, and Content Marketing","We are a property management marketing company. That’s likely over-simplified, but it’s cleaner than a long list of descriptors. In short, we help property management companies grow by implementing effective marketing strategies. We create custom-tailored marketing plans based on your company’s current market position.

If you are looking to increase your sales and take your Property Management business to the NEXT LEVEL, you have come to the right place. We do this by helping you effectively market your property management company online using a variety of internet marketing tools.

-OUR MISSION-

To fix the broken, ineffective, and outdated marketing strategies being peddled to property management companies throughout the globe.

-WHY WE DO WHAT WE DO-

We come to work every day because we love creating marketing funnels and systems that fix problems. Our aim is to push forward the digital marketing landscape for the property management industry.

Creations don’t have to be huge, extraordinary pieces of work. Sometimes creations are simply a solution to a problem or improvements in the way we work.",
"Pearson Partners, Inc.",http://ppi-re.com/,Real Estate,11-50 employees,New York,Privately Held,1992,Real estate investment and asset management,"Formed in 1992

Principal Business Platforms:
- Real Estate Investments
- Asset Management
- Property Management
- Property Redevelopment
- Consulting & Valuation",
"aftertec, Inc.",http://www.aftertecai.com,Photography,11-50 employees,"Petaluma, California",Privately Held,2012,"Photography, Aerial Photography, Aerial Videography, 3D Virtual Tours, Business Video, Real Estate Video, Photo Scanning, Real Estate Photography, HDR Photography, Twilight Photography, 3D Surface Models, Photogrammetry, Floor Plans, Aerial Inspections, Imaging For Insurance Claims, Roof Inspections, 3D Business Listings, Virtual Tours, Video Production, Matterport, Matterport 3D, Matterport Service Partner, BIM Model Creation, Rough House 3D Scans, As Built Construction Scans, Create Object and Color Point Cloud Files, Industrial 3D Scans, Fire Exit Floor Plans, and Onsite Real Time Surveys","aftertec, Inc., a California Corporation, founded in 2012 is a technology holding company for aftertec advanced imaging.  We are a White Glove Logistics Experts for 3D Tours, Photography, & Google Street View Scans

We're more than just a network: as a full-fledged company with dedicated staff photographers and an extensive support team, we manage even the largest projects with unmatched precision. Benefit from our Vetted and Background Checked Photographers, efficient Scheduling, rigorous Quality Control, expert Post Production Teams, and the highest levels of General Liability Insurance to ensure coverage for all project scales. Our commitment to excellence is unwavering as we streamline capturing 3D, photographic, Aerial Photography Services, and Google Street View content nationwide, solidifying our role as your comprehensive partner for superior quality and assurance.

🏠 Realtors & Commercial Brokerages - Showcase property listings with pristine visuals. (Order3DNow.com) 
🏢 AEC Industry - Obtain detailed 3D visualizations, Revit & AutoCAD files, and BIM Models.
🌍 Google Street View Scans - Enhance your location visibility with precision.
🌴 Vacation Rental Owners & Property Managers - Entice guests with top-tier tours.
🔍 Claims Adjusters - Ensure detailed, accurate imagery for your assessments.

Discover why we stand apart in the industry. For real estate specifics, dive into aftertecai.com.

📞 Connect Today: (800) 801-8310. Elevate your visuals with us.

We are members of the Nationals Association of Realtors, National Association of Residential Property Managers, Vacation Rental Management Association, International Virtual Reality Photography Association, Aircraft Owners and Pilots Association, and National Association of Home Builders.",
